"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",5.651,0.393,1024,14.369,0
"Year0",0.092,0.041,1024,2.254,0.024
"Scale",0.902,0.113,76,8.001,0
"BrLog",0.344,0.048,76,7.165,0
"Year0:Scale",0.037,0.012,1024,3.194,0.001
"Year0:BrLog",0.008,0.005,1024,1.564,0.118
