"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",8.964,4.941,261,1.814,0.071
"YearZ",0.047,1.133,261,0.041,0.967
"mean_temp_c",-0.278,0.309,261,-0.9,0.369
"mean_waveheight",1.972,2.739,261,0.72,0.472
"log_stipe_density",0.56,0.231,261,2.423,0.016
"YearZ:mean_temp_c",-0.016,0.072,261,-0.22,0.826
"YearZ:mean_waveheight",0.356,0.464,261,0.768,0.443
"YearZ:log_stipe_density",0.14,0.064,261,2.179,0.03
