"Year","Month","Day","site","mean_temp_c","max_temp_c","min_temp_c"
2002,4,23,"CARP",13.6471,14.73,12.64
2002,4,23,"MOHK",13.072,14.32,11.86
2002,4,23,"NAPL",12.9694,13.83,12.03
2002,4,24,"AQUE",12.7847,13.65,11.75
2002,4,24,"CARP",13.8158,15.25,12.21
2002,4,24,"MOHK",12.9756,13.97,12.27
2002,4,24,"NAPL",12.7118,13.4,11.94
2002,4,25,"AQUE",12.3968,13.99,11.66
2002,4,25,"CARP",13.7241,14.48,12.81
2002,4,25,"MOHK",12.6792,14.09,11.75
2002,4,25,"NAPL",12.1463,13.23,11.34
2002,4,26,"AQUE",11.5875,12.03,11.23
2002,4,26,"CARP",13.5627,14.39,12.38
2002,4,26,"MOHK",12.6424,13.41,11.41
2002,4,26,"NAPL",11.6013,12.63,11
2002,4,27,"AQUE",11.1267,11.42,10.29
2002,4,27,"CARP",12.1566,13.61,11.08
2002,4,27,"MOHK",11.217,12.03,10.47
2002,4,27,"NAPL",10.7005,11.08,10.23
2002,4,28,"AQUE",10.6317,11.42,10.04
2002,4,28,"CARP",12.0072,13.36,11.17
2002,4,28,"MOHK",11.4019,12.96,10.73
2002,4,28,"NAPL",10.5475,11.6,9.97
2002,4,29,"AQUE",10.889,11.68,10.12
2002,4,29,"CARP",11.8769,12.76,11.17
2002,4,29,"MOHK",11.7233,12.69,11.16
2002,4,29,"NAPL",11.2787,11.95,10.74
2002,4,30,"AQUE",10.9613,11.57,10.72
2002,4,30,"CARP",12.1834,13.44,11.29
2002,4,30,"MOHK",11.7657,12.38,10.73
2002,4,30,"NAPL",11.4914,12.11,10.99
2002,5,1,"AQUE",10.2572,10.82,9.87
2002,5,1,"CARP",12.0831,13.7,11.03
2002,5,1,"MOHK",11.2946,12.81,10.56
2002,5,1,"NAPL",10.9492,11.86,10.14
2002,5,2,"AQUE",10.8691,12.18,9.87
2002,5,2,"CARP",12.4997,13.27,11.26
2002,5,2,"MOHK",11.704,13.21,10.81
2002,5,2,"NAPL",11.1593,12.02,10.23
2002,5,3,"AQUE",11.6119,12.71,10.97
2002,5,3,"CARP",13.3466,14.04,11.95
2002,5,3,"MOHK",12.4015,13.21,11.34
2002,5,3,"NAPL",11.6806,12.29,10.66
2002,5,4,"AQUE",12.0693,13.3,11.06
2002,5,4,"CARP",13.6891,14.31,13.07
2002,5,4,"MOHK",13.1385,14.06,12.47
2002,5,4,"NAPL",12.2118,12.98,11.17
2002,5,5,"AQUE",12.8763,13.64,11.84
2002,5,5,"CARP",13.4029,14.31,11.69
2002,5,5,"MOHK",12.9705,13.58,11.95
2002,5,5,"NAPL",12.5956,13.06,11.6
2002,5,6,"AQUE",12.7397,13.38,11.51
2002,5,6,"CARP",12.2141,13.36,11.69
2002,5,6,"MOHK",12.8298,13.84,11.49
2002,5,6,"NAPL",12.4235,13.06,11.42
2002,5,7,"AQUE",12.5793,13.82,11.23
2002,5,7,"CARP",12.6458,13.7,11.69
2002,5,7,"MOHK",12.9334,14.14,11.95
2002,5,7,"NAPL",12.2254,13.15,11.26
2002,5,8,"AQUE",12.5451,13.99,11.31
2002,5,8,"CARP",13.5128,14.56,12.21
2002,5,8,"MOHK",13.3994,14.76,12.55
2002,5,8,"NAPL",12.5827,13.91,11.68
2002,5,9,"AQUE",12.9988,14.34,11.77
2002,5,9,"CARP",14.0519,14.91,13.24
2002,5,9,"MOHK",13.5199,14.62,12.81
2002,5,9,"NAPL",12.8091,13.57,11.78
2002,5,10,"AQUE",11.9076,13.04,11.06
2002,5,10,"CARP",14.714,15.51,13.96
2002,5,10,"MOHK",14.1587,15.32,12.61
2002,5,10,"NAPL",13.7147,14.61,11.43
2002,5,11,"AQUE",11.7761,13.73,10.46
2002,5,11,"CARP",14.8287,15.34,13.84
2002,5,11,"MOHK",14.5178,15.37,13.41
2002,5,11,"NAPL",12.8112,14.01,11.08
2002,5,12,"AQUE",13.3799,14.61,12.01
2002,5,12,"CARP",14.364,15.34,13.07
2002,5,12,"MOHK",14.2204,15.75,12.52
2002,5,12,"NAPL",13.6522,14.87,11.86
2002,5,13,"AQUE",13.166,14.94,11.06
2002,5,13,"CARP",13.5812,14.79,12.55
2002,5,13,"MOHK",13.8543,16.06,12.01
2002,5,13,"NAPL",13.6803,15.04,11.77
2002,5,14,"AQUE",11.5731,13.73,11.14
2002,5,14,"CARP",14.1602,15.17,12.64
2002,5,14,"MOHK",13.3355,15.54,12.09
2002,5,14,"NAPL",12.8247,14.52,11.26
2002,5,15,"AQUE",13.4041,14.77,11.84
2002,5,15,"CARP",14.0576,14.97,13.16
2002,5,15,"MOHK",13.3538,14.76,12.61
2002,5,15,"NAPL",13.0314,14.09,11.6
2002,5,16,"AQUE",12.3788,13.31,11.07
2002,5,16,"CARP",13.1571,13.79,12.47
2002,5,16,"MOHK",12.8775,13.49,11.95
2002,5,16,"NAPL",12.1164,12.89,11.08
2002,5,17,"AQUE",12.357,14.42,11.16
2002,5,17,"CARP",12.8897,13.61,12.38
2002,5,17,"MOHK",13.0023,14.14,11.75
2002,5,17,"NAPL",12.0959,13.32,11.17
2002,5,18,"AQUE",12.4206,13.31,11.31
2002,5,18,"CARP",13.2904,14.22,12.38
2002,5,18,"MOHK",12.7507,13.81,12.09
2002,5,18,"NAPL",11.4779,12.81,10.49
2002,5,19,"AQUE",11.9284,13.47,10.97
2002,5,19,"CARP",13.4483,14.99,12.38
2002,5,19,"MOHK",12.5721,13.63,11.41
2002,5,19,"NAPL",11.9909,12.89,11.34
2002,5,20,"AQUE",12.2564,13.91,11.49
2002,5,20,"CARP",13.1633,14.99,12.21
2002,5,20,"MOHK",12.7494,14.18,11.58
2002,5,20,"NAPL",12.333,13.06,11.86
2002,5,21,"AQUE",11.6775,12.46,11.23
2002,5,21,"CARP",12.6303,14.48,11.95
2002,5,21,"MOHK",12.3477,13.24,11.49
2002,5,21,"NAPL",11.7698,12.63,10.92
2002,5,22,"AQUE",10.8257,11.33,10.29
2002,5,22,"CARP",12.4007,13.24,11.73
2002,5,22,"MOHK",11.6179,13.58,10.73
2002,5,22,"NAPL",11.3811,12.03,10.74
2002,5,23,"AQUE",10.9248,13.06,10.04
2002,5,23,"CARP",12.9364,13.44,11.78
2002,5,23,"MOHK",12.0019,13.12,11.16
2002,5,23,"NAPL",11.1726,11.69,10.66
2002,5,24,"AQUE",12.0215,13.14,10.97
2002,5,24,"CARP",13.668,15.34,12.81
2002,5,24,"MOHK",12.8082,13.97,11.67
2002,5,24,"NAPL",12.0556,12.54,11.25
2002,5,25,"AQUE",12.5269,13.39,11.92
2002,5,25,"CARP",13.6501,14.82,12.51
2002,5,25,"MOHK",13.0344,14.88,12.01
2002,5,25,"NAPL",12.6136,13.48,12.11
2002,5,26,"AQUE",12.5019,13.13,11.49
2002,5,26,"CARP",13.3699,14.56,12.47
2002,5,26,"MOHK",12.848,13.97,12.09
2002,5,26,"NAPL",12.3002,13.06,11.43
2002,5,27,"AQUE",12.1045,13.14,11.4
2002,5,27,"CARP",12.9254,14.31,11.52
2002,5,27,"MOHK",12.6061,13.81,11.51
2002,5,27,"NAPL",12.0411,13.31,11.17
2002,5,28,"AQUE",12.6594,13.57,11.57
2002,5,28,"CARP",13.505,14.73,12.21
2002,5,28,"MOHK",13.1295,14.41,11.75
2002,5,28,"NAPL",13.1945,14.52,12.2
2002,5,29,"AQUE",13.6961,14.68,12.79
2002,5,29,"CARP",13.8601,14.82,12.89
2002,5,29,"MOHK",14.0615,14.88,13.47
2002,5,29,"NAPL",13.5308,14.43,12.28
2002,5,30,"AQUE",13.9843,14.61,13.13
2002,5,30,"CARP",14.8374,15.94,13.92
2002,5,30,"MOHK",14.5323,15.75,13.32
2002,5,30,"NAPL",13.591,14.43,12.2
2002,5,31,"AQUE",14.0265,15.03,12.18
