"interval_year","site","mean_temp_c","max_mean_temp_c","min_mean_temp_c"
2013,"NAPL",14.8134,14.8134,14.8134
2013,"SCDI",15.1417,15.1417,15.1417
2013,"SCTW",16.5887,16.5887,16.5887
2014,"ABUR",15.4915,15.4915,15.4915
2014,"AHND",14.9164,14.9164,14.9164
2014,"AQUE",15.2823,15.2823,15.2823
2014,"BULL",14.8167,14.8167,14.8167
2014,"CARP",15.4199,15.4199,15.4199
2014,"GOLB",15.0206,15.0206,15.0206
2014,"IVEE",15.8713,15.8713,15.8713
2014,"MOHK",15.9669,15.9669,15.9669
2014,"NAPL",14.6945,14.6945,14.6945
2014,"SCDI",15.3803,15.3803,15.3803
2014,"SCTW",15.6507,15.6507,15.6507
2015,"ABUR",17.6638,17.6638,17.6638
2015,"AHND",17.6789,17.6789,17.6789
2015,"AQUE",17.9193,17.9193,17.9193
2015,"BULL",17.3291,17.3291,17.3291
2015,"CARP",18.24,18.24,18.24
2015,"GOLB",18.2354,18.2354,18.2354
2015,"IVEE",17.5901,17.5901,17.5901
2015,"MOHK",18.2143,18.2143,18.2143
2015,"NAPL",17.4834,17.4834,17.4834
2015,"SCDI",19.4539,19.4539,19.4539
2015,"SCTW",20.0396,20.0396,20.0396
