year,1,2,3,4,5,6,7,8,9,10,11,12
1950,-1.027,-1.149,-1.298,-1.081,-1.427,-1.372,-1.332,-1.061,-0.584,-0.402,-1.157,-1.25
1951,-1.071,-1.199,-1.212,-0.447,-0.321,0.438,0.715,0.847,0.769,0.743,0.722,0.466
1952,0.403,0.12,0.058,0.236,-0.315,-0.657,-0.255,-0.174,0.357,0.304,-0.347,-0.129
1953,0.016,0.375,0.244,0.707,0.788,0.227,0.395,0.248,0.52,0.091,0.048,0.311
1954,-0.054,-0.022,0.181,-0.514,-1.452,-1.585,-1.402,-1.467,-1.157,-1.374,-1.144,-1.106
1955,-0.772,-0.708,-1.15,-1.585,-1.646,-2.291,-1.953,-2.05,-1.831,-1.748,-1.834,-1.863
1956,-1.439,-1.3,-1.402,-1.164,-1.312,-1.513,-1.208,-1.134,-1.364,-1.464,-1.041,-1.021
1957,-0.949,-0.348,0.163,0.349,0.881,0.768,0.924,1.122,1.179,1.097,1.129,1.231
1958,1.472,1.453,1.325,1.038,0.716,0.893,0.711,0.428,0.178,0.208,0.486,0.707
1959,0.578,0.807,0.501,0.236,0.025,0.01,-0.187,0.069,0.055,-0.082,-0.18,-0.263
1960,-0.31,-0.268,-0.083,0.011,-0.345,-0.247,-0.361,-0.254,-0.476,-0.364,-0.338,-0.432
1961,-0.152,-0.27,-0.093,0.013,-0.28,-0.098,-0.175,-0.242,-0.268,-0.513,-0.435,-0.643
1962,-1.091,-0.985,-0.712,-1.03,-0.914,-0.855,-0.711,-0.545,-0.547,-0.657,-0.6,-0.48
1963,-0.7,-0.823,-0.682,-0.791,-0.465,-0.052,0.445,0.626,0.764,0.832,0.859,0.748
1964,0.855,0.439,-0.299,-0.611,-1.25,-1.096,-1.411,-1.5,-1.291,-1.209,-1.202,-0.913
1965,-0.526,-0.324,-0.254,0.083,0.51,0.944,1.391,1.477,1.405,1.22,1.367,1.256
1966,1.308,1.183,0.687,0.542,-0.157,-0.134,-0.153,0.165,-0.091,-0.015,0.026,-0.181
1967,-0.473,-0.944,-1.073,-1.052,-0.442,-0.315,-0.606,-0.427,-0.634,-0.679,-0.421,-0.366
1968,-0.593,-0.684,-0.592,-0.949,-1.093,-0.748,-0.55,-0.121,0.233,0.425,0.603,0.359
1969,0.69,0.867,0.447,0.628,0.706,0.799,0.426,0.158,0.161,0.504,0.653,0.383
1970,0.361,0.41,0.215,-0.062,-0.142,-0.72,-1.137,-1.042,-1.245,-1.103,-1.09,-1.248
1971,-1.224,-1.518,-1.812,-1.902,-1.432,-1.485,-1.222,-1.234,-1.462,-1.421,-1.313,-1.011
1972,-0.594,-0.417,-0.251,-0.195,0.5,1.166,1.896,1.823,1.512,1.626,1.722,1.745
1973,1.704,1.473,0.829,0.467,-0.141,-0.815,-1.072,-1.37,-1.743,-1.692,-1.519,-1.87
1974,-1.942,-1.79,-1.756,-1.675,-1.051,-0.642,-0.723,-0.629,-0.617,-1.05,-1.255,-0.931
1975,-0.566,-0.613,-0.894,-0.99,-0.867,-1.145,-1.477,-1.731,-1.874,-2,-1.793,-1.757
1976,-1.625,-1.404,-1.255,-1.189,-0.463,0.343,0.617,0.668,1.024,0.947,0.48,0.552
1977,0.518,0.258,0.091,0.544,0.305,0.483,0.859,0.689,0.812,1.006,0.974,0.879
1978,0.779,0.904,0.964,0.177,-0.394,-0.568,-0.407,-0.193,-0.386,-0.023,0.197,0.399
1979,0.596,0.354,-0.021,0.278,0.374,0.389,0.355,0.644,0.769,0.64,0.737,1.016
1980,0.698,0.611,0.685,0.914,0.95,0.855,0.782,0.341,0.284,0.208,0.238,0.118
1981,-0.243,-0.153,0.453,0.646,0.14,-0.023,-0.033,-0.082,0.179,0.091,-0.051,-0.148
1982,-0.278,-0.138,0.102,-0.013,0.432,0.954,1.626,1.827,1.797,2.021,2.447,2.411
1983,2.687,2.903,3.024,2.835,2.537,2.18,1.738,1.137,0.439,0.003,-0.171,-0.172
1984,-0.338,-0.563,0.126,0.3,0.106,-0.107,-0.129,-0.185,-0.084,0.017,-0.348,-0.611
1985,-0.557,-0.605,-0.742,-0.477,-0.718,-0.09,-0.146,-0.398,-0.537,-0.139,-0.053,-0.289
1986,-0.302,-0.176,0.055,-0.152,0.35,0.316,0.389,0.811,1.157,0.994,0.867,1.181
1987,1.237,1.184,1.727,1.867,2.14,1.923,1.841,1.956,1.84,1.612,1.252,1.253
1988,1.093,0.661,0.45,0.304,0.081,-0.682,-1.164,-1.378,-1.574,-1.342,-1.463,-1.339
1989,-1.165,-1.323,-1.052,-0.849,-0.44,-0.256,-0.448,-0.494,-0.28,-0.312,-0.061,0.145
1990,0.234,0.524,0.918,0.403,0.638,0.43,0.093,0.126,0.376,0.247,0.378,0.339
1991,0.312,0.32,0.409,0.471,0.747,1.14,1.009,1.01,0.738,1.02,1.203,1.318
1992,1.749,1.87,1.987,2.269,2.148,1.74,0.953,0.536,0.508,0.672,0.603,0.642
1993,0.701,1.005,0.994,1.408,1.994,1.499,1.096,1.006,0.987,1.06,0.826,0.565
1994,0.34,0.194,0.168,0.45,0.557,0.764,0.835,0.742,0.886,1.434,1.28,1.184
1995,1.198,0.974,0.883,0.437,0.523,0.465,0.178,-0.198,-0.456,-0.478,-0.486,-0.553
1996,-0.64,-0.587,-0.243,-0.495,-0.13,0.022,-0.21,-0.399,-0.495,-0.381,-0.155,-0.337
1997,-0.485,-0.602,-0.244,0.537,1.17,2.314,2.764,3.004,3.005,2.363,2.527,2.326
1998,2.481,2.774,2.728,2.632,2.164,1.165,0.284,-0.417,-0.655,-0.844,-1.165,-1.01
1999,-1.151,-1.247,-1.087,-1.053,-0.66,-0.403,-0.469,-0.779,-0.997,-1.007,-1.072,-1.205
2000,-1.195,-1.252,-1.151,-0.548,0.16,-0.101,-0.187,-0.143,-0.243,-0.381,-0.75,-0.582
2001,-0.539,-0.725,-0.615,-0.156,0.221,-0.028,0.267,0.364,-0.124,-0.273,-0.176,0.005
2002,-0.049,-0.21,-0.196,0.356,0.843,0.882,0.613,0.928,0.813,0.955,1.063,1.114
2003,1.185,0.933,0.828,0.325,0.088,0.048,0.093,0.246,0.442,0.515,0.528,0.319
2004,0.31,0.333,-0.117,0.243,0.518,0.223,0.478,0.671,0.526,0.476,0.795,0.647
2005,0.302,0.804,1.032,0.589,0.801,0.504,0.492,0.319,0.262,-0.164,-0.4,-0.583
2006,-0.469,-0.463,-0.584,-0.689,-0.004,0.565,0.637,0.76,0.802,0.899,1.299,0.953
2007,0.972,0.505,0.074,-0.053,0.226,-0.3,-0.294,-0.448,-1.152,-1.133,-1.165,-1.164
2008,-1.009,-1.408,-1.645,-0.964,-0.352,0.14,0.011,-0.262,-0.631,-0.77,-0.605,-0.66
2009,-0.752,-0.728,-0.726,-0.156,0.366,0.934,0.949,0.957,0.77,1.025,1.066,1.013
2010,1.153,1.524,1.385,0.894,0.62,-0.388,-1.17,-1.808,-2.019,-1.943,-1.588,-1.574
2011,-1.677,-1.563,-1.56,-1.478,-0.273,-0.136,-0.076,-0.462,-0.753,-0.956,-0.965,-0.976
2012,-1.045,-0.711,-0.432,0.052,0.739,0.909,1.138,0.575,0.278,0.112,0.176,0.041
2013,0.041,-0.173,-0.181,0.002,0.116,-0.242,-0.436,-0.586,-0.175,0.102,-0.08,-0.3
2014,-0.312,-0.258,0.012,0.193,0.967,0.878,0.816,0.858,0.5,0.36,0.712,0.578
2015,0.406,0.468,0.65,0.953,1.567,,,,,,,
